Date,CP,CP -1,CP -2,CP -3,CP -4,CP -5,R -1,R -2,R -3,R -4,R -5,SMAL,EMAL,WMAL,SMAC,EMAC,WMAC,RSIC,RSIL,ADXC,ADXL,SAR,R,B
20060509,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0
20060510,8.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,-0.05999999999999872,0
20060511,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,-0.08999999999999986,0
20060512,8.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,-0.08999999999999986,0
20060515,8.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,-0.20000000000000107,0
20060516,8.24,8.24,8.26,8.46,8.55,8.64,-0.019999999999999574,0.019999999999999574,0.20000000000000107,0.08999999999999986,0.08999999999999986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,-0.019999999999999574,0
20060517,8.21,8.21,8.24,8.26,8.46,8.55,-0.02999999999999936,0.02999999999999936,0.019999999999999574,0.20000000000000107,0.08999999999999986,NA,NA,NA,8.44,8.44,8.35,NA,NA,NA,NA,8.85,-0.02999999999999936,0
20060518,8.02,8.02,8.21,8.24,8.26,8.46,-0.19000000000000128,0.19000000000000128,0.02999999999999936,0.019999999999999574,0.20000000000000107,NA,NA,NA,8.34,8.33,8.24,0.0,NA,NA,NA,8.85,-0.19000000000000128,0
20060519,8.0,8.0,8.02,8.21,8.24,8.26,-0.019999999999999574,0.019999999999999574,0.19000000000000128,0.02999999999999936,0.019999999999999574,NA,NA,NA,8.25,8.25,8.16,0.0,NA,NA,NA,8.85,-0.019999999999999574,0
20060522,7.89,7.89,8.0,8.02,8.21,8.24,-0.11000000000000032,0.11000000000000032,0.019999999999999574,0.19000000000000128,0.02999999999999936,NA,NA,NA,8.15,8.16,8.07,0.0,NA,NA,NA,8.85,-0.11000000000000032,0
20060523,7.87,7.87,7.89,8.0,8.02,8.21,-0.019999999999999574,0.019999999999999574,0.11000000000000032,0.019999999999999574,0.19000000000000128,NA,NA,NA,8.07,8.09,8.0,0.0,NA,NA,NA,8.85,-0.019999999999999574,0
20060524,7.7,7.7,7.87,7.89,8.0,8.02,-0.16999999999999993,0.16999999999999993,0.019999999999999574,0.11000000000000032,0.019999999999999574,NA,NA,NA,7.99,7.99,7.9,0.0,NA,NA,NA,8.85,-0.16999999999999993,0
20060525,7.95,7.95,7.7,7.87,7.89,8.0,0.25,-0.25,0.16999999999999993,0.019999999999999574,0.11000000000000032,NA,NA,NA,7.95,7.98,7.89,31.05,NA,NA,NA,8.85,0.25,1
20060526,7.95,7.95,7.95,7.7,7.87,7.89,0.0,0.0,-0.25,0.16999999999999993,0.019999999999999574,NA,NA,NA,7.91,7.97,7.89,31.05,NA,81.76,NA,8.85,0.0,0
20060529,7.95,7.95,7.95,7.95,7.7,7.87,0.0,0.0,0.0,-0.25,0.16999999999999993,NA,NA,NA,7.9,7.97,7.9,31.05,NA,77.75,NA,8.85,0.0,0
20060530,7.61,7.61,7.95,7.95,7.95,7.7,-0.33999999999999986,0.33999999999999986,0.0,0.0,-0.25,NA,NA,NA,7.85,7.88,7.83,18.59,NA,76.42,NA,8.85,-0.33999999999999986,0
